ERROR This is error message
CRITICAL This is critical message
ERROR This is error message
CRITICAL This is critical message
ERROR __main__ This is error message
CRITICAL __main__ This is critical message
ERROR __main__ This is error message
CRITICAL __main__ This is critical message
ERROR __main__ This is error message
CRITICAL __main__ This is critical message
ERROR __main__ This is error message
CRITICAL __main__ This is critical message
   ERROR __main__ This is error message
CRITICAL __main__ This is critical message
   ERROR __main__ This is error message
CRITICAL __main__ This is critical message
