movie_title,duration
Avatar ,178.0
Pirates of the Caribbean: At World's End ,169.0
Spectre ,148.0
The Dark Knight Rises ,164.0
Star Wars: Episode VII - The Force Awakens             ,
John Carter ,132.0
Spider-Man 3 ,156.0
Tangled ,100.0
Avengers: Age of Ultron ,141.0
Harry Potter and the Half-Blood Prince ,153.0
Batman v Superman: Dawn of Justice ,183.0
Superman Returns ,169.0
Quantum of Solace ,106.0
Pirates of the Caribbean: Dead Man's Chest ,151.0
The Lone Ranger ,150.0
Man of Steel ,143.0
The Chronicles of Narnia: Prince Caspian ,150.0
The Avengers ,173.0
Pirates of the Caribbean: On Stranger Tides ,136.0
Men in Black 3 ,106.0
The Hobbit: The Battle of the Five Armies ,164.0
The Amazing Spider-Man ,153.0
Robin Hood ,156.0
The Hobbit: The Desolation of Smaug ,186.0
The Golden Compass ,113.0
King Kong ,201.0
Titanic ,194.0
Captain America: Civil War ,147.0
Battleship ,131.0
Jurassic World ,124.0
Skyfall ,143.0
Spider-Man 2 ,135.0
Iron Man 3 ,195.0
Alice in Wonderland ,108.0
X-Men: The Last Stand ,104.0
Monsters University ,104.0
Transformers: Revenge of the Fallen ,150.0
Transformers: Age of Extinction ,165.0
Oz the Great and Powerful ,130.0
The Amazing Spider-Man 2 ,142.0
TRON: Legacy ,125.0
Cars 2 ,106.0
Green Lantern ,123.0
Toy Story 3 ,103.0
Terminator Salvation ,118.0
Furious 7 ,140.0
World War Z ,123.0
X-Men: Days of Future Past ,149.0
Star Trek Into Darkness ,132.0
Jack the Giant Slayer ,114.0
The Great Gatsby ,143.0
Prince of Persia: The Sands of Time ,116.0
Pacific Rim ,131.0
Transformers: Dark of the Moon ,154.0
Indiana Jones and the Kingdom of the Crystal Skull ,122.0
The Good Dinosaur ,93.0
Brave ,93.0
Star Trek Beyond ,122.0
WALL·E ,98.0
Rush Hour 3 ,91.0
2012 ,158.0
A Christmas Carol ,96.0
Jupiter Ascending ,127.0
The Legend of Tarzan ,110.0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150.0
X-Men: Apocalypse ,144.0
The Dark Knight ,152.0
Up ,96.0
Monsters vs. Aliens ,94.0
Iron Man ,126.0
Hugo ,126.0
Wild Wild West ,106.0
The Mummy: Tomb of the Dragon Emperor ,112.0
Suicide Squad ,123.0
Evan Almighty ,96.0
Edge of Tomorrow ,113.0
Waterworld ,176.0
G.I. Joe: The Rise of Cobra ,118.0
Inside Out ,95.0
The Jungle Book ,106.0
Iron Man 2 ,124.0
Snow White and the Huntsman ,132.0
Maleficent ,97.0
Dawn of the Planet of the Apes ,130.0
The Lovers ,109.0
47 Ronin ,128.0
Captain America: The Winter Soldier ,136.0
Shrek Forever After ,93.0
Tomorrowland ,130.0
Big Hero 6 ,102.0
Wreck-It Ralph ,101.0
The Polar Express ,100.0
Independence Day: Resurgence ,120.0
How to Train Your Dragon ,98.0
Terminator 3: Rise of the Machines ,109.0
Guardians of the Galaxy ,121.0
Interstellar ,169.0
Inception ,148.0
Godzilla Resurgence ,120.0
The Hobbit: An Unexpected Journey ,182.0
The Fast and the Furious ,106.0
The Curious Case of Benjamin Button ,166.0
X-Men: First Class ,132.0
The Hunger Games: Mockingjay - Part 2 ,137.0
The Sorcerer's Apprentice ,109.0
Poseidon ,98.0
Alice Through the Looking Glass ,113.0
Shrek the Third ,93.0
Warcraft ,123.0
Terminator Genisys ,126.0
The Chronicles of Narnia: The Voyage of the Dawn Treader ,113.0
Pearl Harbor ,184.0
Transformers ,144.0
Alexander ,206.0
Harry Potter and the Order of the Phoenix ,138.0
Harry Potter and the Goblet of Fire ,157.0
Hancock ,102.0
I Am Legend ,104.0
Charlie and the Chocolate Factory ,115.0
Ratatouille ,111.0
Batman Begins ,128.0
Madagascar: Escape 2 Africa ,89.0
Night at the Museum: Battle of the Smithsonian ,105.0
X-Men Origins: Wolverine ,119.0
The Matrix Revolutions ,129.0
Frozen ,102.0
The Matrix Reloaded ,138.0
Thor: The Dark World ,112.0
Mad Max: Fury Road ,120.0
Angels & Demons ,146.0
Thor ,115.0
Bolt ,96.0
G-Force ,88.0
Wrath of the Titans ,99.0
Dark Shadows ,113.0
Mission: Impossible - Rogue Nation ,131.0
The Wolfman ,119.0
The Legend of Tarzan ,110.0
Bee Movie ,91.0
Kung Fu Panda 2 ,90.0
The Last Airbender ,103.0
Mission: Impossible III ,124.0
White House Down ,131.0
Mars Needs Moms ,88.0
Flushed Away ,85.0
Pan ,111.0
Mr. Peabody & Sherman ,92.0
Troy ,196.0
Madagascar 3: Europe's Most Wanted ,93.0
Die Another Day ,133.0
Ghostbusters ,116.0
Armageddon ,153.0
Men in Black II ,88.0
Beowulf ,115.0
Kung Fu Panda 3 ,95.0
Mission: Impossible - Ghost Protocol ,133.0
Rise of the Guardians ,97.0
Fun with Dick and Jane ,90.0
The Last Samurai ,154.0
Exodus: Gods and Kings ,150.0
Star Trek ,127.0
Spider-Man ,121.0
How to Train Your Dragon 2 ,102.0
Gods of Egypt ,126.0
Stealth ,121.0
Watchmen ,215.0
Lethal Weapon 4 ,127.0
Hulk ,138.0
G.I. Joe: Retaliation ,122.0
Sahara ,124.0
Final Fantasy: The Spirits Within ,106.0
Captain America: The First Avenger ,124.0
The World Is Not Enough ,128.0
Master and Commander: The Far Side of the World ,138.0
The Twilight Saga: Breaking Dawn - Part 2 ,115.0
Happy Feet 2 ,100.0
The Incredible Hulk ,135.0
Miami Vice             ,60.0
The BFG ,117.0
The Revenant ,156.0
Turbo ,96.0
Rango ,107.0
Penguins of Madagascar ,92.0
The Bourne Ultimatum ,115.0
Kung Fu Panda ,92.0
Ant-Man ,117.0
The Hunger Games: Catching Fire ,146.0
The Twilight Saga: Breaking Dawn - Part 2 ,115.0
Home ,94.0
War of the Worlds ,116.0
Bad Boys II ,147.0
Puss in Boots ,90.0
Salt ,101.0
Noah ,138.0
The Adventures of Tintin ,107.0
Harry Potter and the Prisoner of Azkaban ,142.0
Australia ,165.0
After Earth ,100.0
Dinosaur ,82.0
Harry Potter and the Deathly Hallows: Part II ,
Night at the Museum: Secret of the Tomb ,98.0
Megamind ,95.0
Harry Potter and the Sorcerer's Stone ,159.0
R.I.P.D. ,96.0
Godzilla Resurgence ,120.0
Pirates of the Caribbean: The Curse of the Black Pearl ,143.0
Harry Potter and the Deathly Hallows: Part I ,
The Hunger Games: Mockingjay - Part 1 ,123.0
The Da Vinci Code ,174.0
Rio 2 ,101.0
X-Men 2 ,134.0
Fast Five ,132.0
Sherlock Holmes: A Game of Shadows ,129.0
Clash of the Titans ,106.0
Total Recall ,113.0
The 13th Warrior ,102.0
The Bourne Legacy ,135.0
Batman & Robin ,125.0
How the Grinch Stole Christmas ,110.0
The Day After Tomorrow ,124.0
Mission: Impossible II ,123.0
The Perfect Storm ,130.0
Fantastic 4: Rise of the Silver Surfer ,92.0
Life of Pi ,127.0
Ghost Rider ,123.0
Jason Bourne ,123.0
Charlie's Angels: Full Throttle ,107.0
Prometheus ,124.0
Stuart Little 2 ,77.0
Elysium ,109.0
The Chronicles of Riddick ,134.0
RoboCop ,117.0
Speed Racer ,135.0
How Do You Know ,121.0
Knight and Day ,117.0
Oblivion ,124.0
Star Wars: Episode III - Revenge of the Sith ,140.0
Star Wars: Episode II - Attack of the Clones ,142.0
"Monsters, Inc. ",92.0
The Wolverine ,138.0
Star Wars: Episode I - The Phantom Menace ,136.0
The Croods ,98.0
Asterix at the Olympic Games ,116.0
Windtalkers ,153.0
The Huntsman: Winter's War ,120.0
Teenage Mutant Ninja Turtles ,101.0
Gravity ,91.0
Dante's Peak ,108.0
Teenage Mutant Ninja Turtles: Out of the Shadows ,112.0
Fantastic Four ,100.0
Night at the Museum ,108.0
San Andreas ,114.0
Tomorrow Never Dies ,119.0
The Patriot ,142.0
Ocean's Twelve ,125.0
Mr. & Mrs. Smith ,126.0
Insurgent ,119.0
The Aviator ,170.0
Gulliver's Travels ,85.0
The Green Hornet ,119.0
The A-Team             ,60.0
300: Rise of an Empire ,102.0
The Smurfs ,103.0
Home on the Range ,76.0
Allegiant ,120.0
Real Steel ,127.0
The Smurfs 2 ,105.0
Speed 2: Cruise Control ,121.0
Ender's Game ,114.0
Live Free or Die Hard ,129.0
The Lord of the Rings: The Fellowship of the Ring ,171.0
Around the World in 80 Days ,120.0
Ali ,165.0
The Cat in the Hat ,82.0
"I, Robot ",115.0
Kingdom of Heaven ,194.0
Stuart Little ,84.0
The Princess and the Frog ,97.0
The Martian ,151.0
"10,000 B.C.             ",22.0
The Island ,136.0
Town & Country ,104.0
Gone in Sixty Seconds ,127.0
Gladiator ,171.0
Minority Report ,145.0
Harry Potter and the Chamber of Secrets ,174.0
Casino Royale ,144.0
Planet of the Apes ,119.0
Terminator 2: Judgment Day ,153.0
Public Enemies ,140.0
American Gangster ,176.0
True Lies ,141.0
The Taking of Pelham 1 2 3 ,106.0
Little Fockers ,98.0
The Other Guys ,116.0
Eraser ,115.0
Django Unchained ,165.0
The Hunchback of Notre Dame ,91.0
The Emperor's New Groove ,78.0
The Expendables 2 ,103.0
National Treasure ,131.0
Eragon ,104.0
Where the Wild Things Are ,101.0
Pan ,111.0
Epic ,102.0
The Tourist ,103.0
End of Days ,121.0
Blood Diamond ,143.0
The Wolf of Wall Street ,240.0
Batman Forever ,121.0
Starship Troopers ,129.0
Cloud Atlas ,172.0
Legend of the Guardians: The Owls of Ga'Hoole ,101.0
Catwoman ,87.0
Hercules ,101.0
Treasure Planet ,95.0
Land of the Lost ,102.0
The Expendables 3 ,131.0
Point Break ,114.0
Son of the Mask ,94.0
In the Heart of the Sea ,122.0
The Adventures of Pluto Nash ,95.0
Green Zone ,115.0
The Peanuts Movie ,88.0
The Spanish Prisoner ,110.0
The Mummy Returns ,130.0
Gangs of New York ,216.0
The Flowers of War ,146.0
Surf's Up ,85.0
The Stepford Wives ,93.0
Black Hawk Down ,152.0
The Campaign ,85.0
The Fifth Element ,126.0
Sex and the City 2 ,146.0
The Road to El Dorado ,89.0
Ice Age: Continental Drift ,88.0
Cinderella ,105.0
The Lovely Bones ,135.0
Finding Nemo ,100.0
The Lord of the Rings: The Return of the King ,192.0
The Lord of the Rings: The Two Towers ,172.0
Seventh Son ,102.0
Lara Croft: Tomb Raider ,100.0
Transcendence ,119.0
Jurassic Park III ,92.0
Rise of the Planet of the Apes ,105.0
The Spiderwick Chronicles ,107.0
A Good Day to Die Hard ,101.0
The Alamo ,137.0
The Incredibles ,115.0
Cutthroat Island ,124.0
Percy Jackson & the Olympians: The Lightning Thief ,118.0
Men in Black ,98.0
Toy Story 2 ,82.0
Unstoppable ,98.0
Rush Hour 2 ,90.0
What Lies Beneath ,130.0
Cloudy with a Chance of Meatballs ,90.0
Ice Age: Dawn of the Dinosaurs ,94.0
The Secret Life of Walter Mitty ,114.0
Charlie's Angels ,94.0
The Departed ,151.0
Mulan ,88.0
Tropic Thunder ,121.0
The Girl with the Dragon Tattoo ,158.0
Die Hard with a Vengeance ,128.0
Sherlock Holmes ,128.0
Ben-Hur ,141.0
Atlantis: The Lost Empire ,95.0
Alvin and the Chipmunks: The Road Chip ,92.0
Valkyrie ,121.0
You Don't Mess with the Zohan ,113.0
Pixels ,106.0
A.I. Artificial Intelligence ,146.0
The Haunted Mansion ,88.0
Contact ,150.0
Hollow Man ,119.0
The Interpreter ,128.0
Percy Jackson: Sea of Monsters ,106.0
Lara Croft Tomb Raider: The Cradle of Life ,117.0
Now You See Me 2 ,129.0
The Saint ,116.0
Spy Game ,114.0
Mission to Mars ,114.0
Rio ,96.0
Bicentennial Man ,132.0
Volcano ,104.0
The Devil's Own ,111.0
K-19: The Widowmaker ,138.0
Fantastic Four ,100.0
Conan the Barbarian ,129.0
Cinderella Man ,144.0
The Nutcracker in 3D ,110.0
Seabiscuit ,140.0
Twister ,113.0
The Fast and the Furious ,106.0
Cast Away ,143.0
Happy Feet ,108.0
The Bourne Supremacy ,108.0
Air Force One ,124.0
Ocean's Eleven ,116.0
The Three Musketeers ,110.0
Hotel Transylvania ,91.0
Enchanted ,107.0
Hannibal             ,44.0
Safe House ,115.0
102 Dalmatians ,100.0
Tower Heist ,104.0
The Holiday ,138.0
Enemy of the State ,140.0
It's Complicated ,120.0
Ocean's Thirteen ,122.0
Open Season ,83.0
Divergent ,139.0
Enemy at the Gates ,131.0
The Rundown ,104.0
Last Action Hero ,130.0
Memoirs of a Geisha ,145.0
The Fast and the Furious: Tokyo Drift ,104.0
Arthur Christmas ,97.0
Meet Joe Black ,178.0
Collateral Damage ,108.0
All That Jazz ,123.0
Mirror Mirror ,106.0
Scott Pilgrim vs. the World ,112.0
The Core ,135.0
Nutty Professor II: The Klumps ,109.0
Scooby-Doo ,86.0
Dredd ,95.0
Click ,107.0
Creepshow ,130.0
Cats & Dogs: The Revenge of Kitty Galore ,82.0
Jumper ,88.0
Hellboy II: The Golden Army ,120.0
Zodiac ,162.0
The 6th Day ,123.0
Bruce Almighty ,101.0
The Expendables ,113.0
Mission: Impossible ,110.0
The Hunger Games ,142.0
The Hangover Part II ,102.0
Batman Returns ,126.0
Over the Hedge ,83.0
Lilo & Stitch ,85.0
Charlotte's Web ,97.0
Deep Impact ,120.0
RED 2 ,116.0
The Longest Yard ,113.0
Alvin and the Chipmunks: Chipwrecked ,87.0
Grown Ups 2 ,101.0
Get Smart ,110.0
Something's Gotta Give ,128.0
Shutter Island ,138.0
Four Christmases ,88.0
Robots ,91.0
Face/Off ,138.0
Bedtime Stories ,99.0
Road to Perdition ,117.0
Just Go with It ,117.0
Daredevil             ,54.0
Con Air ,123.0
Eagle Eye ,118.0
Cold Mountain ,154.0
The Book of Eli ,118.0
Flubber ,90.0
The Haunting ,113.0
Space Jam ,88.0
The Pink Panther ,93.0
The Day the Earth Stood Still ,104.0
Conspiracy Theory ,135.0
Fury ,134.0
Six Days Seven Nights ,98.0
Yogi Bear ,80.0
Spirit: Stallion of the Cimarron ,83.0
Zookeeper ,102.0
Lost in Space ,130.0
The Manchurian Candidate ,129.0
Déjà Vu ,117.0
Hotel Transylvania 2 ,89.0
Bewitched             ,25.0
Fantasia 2000 ,74.0
The Time Machine ,96.0
Mighty Joe Young ,114.0
Swordfish ,99.0
The Legend of Zorro ,129.0
What Dreams May Come ,113.0
Little Nicky ,90.0
The Brothers Grimm ,118.0
Mars Attacks! ,106.0
Evolution ,81.0
The Edge ,117.0
Surrogates ,89.0
Thirteen Days ,145.0
Daylight ,114.0
Walking with Dinosaurs 3D ,87.0
Battlefield Earth ,119.0
Looney Tunes: Back in Action ,91.0
Nine ,118.0
Timeline ,116.0
The Postman ,177.0
Babe: Pig in the City ,97.0
The Last Witch Hunter ,106.0
Red Planet ,106.0
Arthur and the Invisibles ,94.0
Oceans ,104.0
A Sound of Thunder ,102.0
Pompeii ,105.0
Top Cat Begins ,89.0
A Beautiful Mind ,135.0
The Lion King ,73.0
Journey 2: The Mysterious Island ,94.0
Cloudy with a Chance of Meatballs 2 ,95.0
Red Dragon ,124.0
Hidalgo ,136.0
Jack and Jill ,91.0
2 Fast 2 Furious ,107.0
The Little Prince ,108.0
The Invasion ,99.0
The Adventures of Rocky & Bullwinkle ,92.0
The Secret Life of Pets ,87.0
The League of Extraordinary Gentlemen ,110.0
Despicable Me 2 ,98.0
Independence Day ,154.0
The Lost World: Jurassic Park ,129.0
Madagascar ,86.0
Children of Men ,109.0
X-Men ,104.0
Wanted ,110.0
The Rock ,136.0
Ice Age: The Meltdown ,115.0
50 First Dates ,99.0
Hairspray ,117.0
Exorcist: The Beginning ,125.0
Inspector Gadget ,110.0
Now You See Me ,125.0
Grown Ups ,102.0
The Terminal ,128.0
