movie_title,gross,movie_imdb_link
Avatar 	,760505847.0,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
Pirates of the Caribbean: At World's End ,309404152.0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
Spectre ,200074175.0,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1
The Dark Knight Rises ,448130642.0,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
Star Wars: Episode VII - The Force Awakens             ,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1
John Carter ,73058679.0,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
Spider-Man 3 ,336530303.0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
Tangled ,200807262.0,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
Avengers: Age of Ultron ,458991599.0,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
Harry Potter and the Half-Blood Prince ,301956980.0,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
Batman v Superman: Dawn of Justice ,330249062.0,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
Superman Returns ,200069408.0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
Quantum of Solace ,168368427.0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
Pirates of the Caribbean: Dead Man's Chest ,423032628.0,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
The Lone Ranger ,89289910.0,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
Man of Steel ,291021565.0,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
The Chronicles of Narnia: Prince Caspian ,141614023.0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
The Avengers ,623279547.0,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
Pirates of the Caribbean: On Stranger Tides ,241063875.0,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
Men in Black 3 ,179020854.0,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
The Hobbit: The Battle of the Five Armies ,255108370.0,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1
The Amazing Spider-Man ,262030663.0,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1
Robin Hood ,105219735.0,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1
The Hobbit: The Desolation of Smaug ,258355354.0,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1
The Golden Compass ,70083519.0,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1
King Kong ,218051260.0,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1
Titanic ,658672302.0,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1
Captain America: Civil War ,407197282.0,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1
Battleship ,65173160.0,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1
Jurassic World ,652177271.0,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1
Skyfall ,304360277.0,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1
Spider-Man 2 ,373377893.0,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1
Iron Man 3 ,408992272.0,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1
Alice in Wonderland ,334185206.0,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1
X-Men: The Last Stand ,234360014.0,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1
Monsters University ,268488329.0,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1
Transformers: Revenge of the Fallen ,402076689.0,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1
Transformers: Age of Extinction ,245428137.0,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1
Oz the Great and Powerful ,234903076.0,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1
The Amazing Spider-Man 2 ,202853933.0,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1
TRON: Legacy ,172051787.0,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1
Cars 2 ,191450875.0,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1
Green Lantern ,116593191.0,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1
Toy Story 3 ,414984497.0,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1
Terminator Salvation ,125320003.0,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1
Furious 7 ,350034110.0,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1
World War Z ,202351611.0,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1
X-Men: Days of Future Past ,233914986.0,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1
Star Trek Into Darkness ,228756232.0,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1
Jack the Giant Slayer ,65171860.0,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1
The Great Gatsby ,144812796.0,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1
Prince of Persia: The Sands of Time ,90755643.0,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1
Pacific Rim ,101785482.0,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1
Transformers: Dark of the Moon ,352358779.0,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1
Indiana Jones and the Kingdom of the Crystal Skull ,317011114.0,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1
The Good Dinosaur ,123070338.0,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1
Brave ,237282182.0,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1
Star Trek Beyond ,130468626.0,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1
WALL·E ,223806889.0,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1
Rush Hour 3 ,140080850.0,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1
2012 ,166112167.0,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1
A Christmas Carol ,137850096.0,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1
Jupiter Ascending ,47375327.0,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1
The Legend of Tarzan ,124051759.0,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",291709845.0,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1
X-Men: Apocalypse ,154985087.0,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1
The Dark Knight ,533316061.0,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1
Up ,292979556.0,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1
Monsters vs. Aliens ,198332128.0,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1
Iron Man ,318298180.0,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1
Hugo ,73820094.0,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1
Wild Wild West ,113745408.0,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1
The Mummy: Tomb of the Dragon Emperor ,102176165.0,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1
Suicide Squad ,161087183.0,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1
Evan Almighty ,100289690.0,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1
Edge of Tomorrow ,100189501.0,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1
Waterworld ,88246220.0,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1
G.I. Joe: The Rise of Cobra ,150167630.0,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1
Inside Out ,356454367.0,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1
The Jungle Book ,362645141.0,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1
Iron Man 2 ,312057433.0,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1
Snow White and the Huntsman ,155111815.0,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1
Maleficent ,241407328.0,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1
Dawn of the Planet of the Apes ,208543795.0,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1
The Lovers ,,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1
47 Ronin ,38297305.0,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1
Captain America: The Winter Soldier ,259746958.0,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1
Shrek Forever After ,238371987.0,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1
Tomorrowland ,93417865.0,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1
Big Hero 6 ,222487711.0,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1
Wreck-It Ralph ,189412677.0,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1
The Polar Express ,665426.0,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1
Independence Day: Resurgence ,102315545.0,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1
How to Train Your Dragon ,217387997.0,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1
Terminator 3: Rise of the Machines ,150350192.0,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1
Guardians of the Galaxy ,333130696.0,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1
Interstellar ,187991439.0,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1
Inception ,292568851.0,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1
Godzilla Resurgence ,,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1
The Hobbit: An Unexpected Journey ,303001229.0,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1
The Fast and the Furious ,144512310.0,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1
The Curious Case of Benjamin Button ,127490802.0,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1
X-Men: First Class ,146405371.0,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1
The Hunger Games: Mockingjay - Part 2 ,281666058.0,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1
The Sorcerer's Apprentice ,63143812.0,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1
Poseidon ,60655503.0,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1
Alice Through the Looking Glass ,76846624.0,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1
Shrek the Third ,320706665.0,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1
Warcraft ,46978995.0,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1
Terminator Genisys ,89732035.0,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1
The Chronicles of Narnia: The Voyage of the Dawn Treader ,104383624.0,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1
Pearl Harbor ,198539855.0,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1
Transformers ,318759914.0,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1
Alexander ,34293771.0,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1
Harry Potter and the Order of the Phoenix ,292000866.0,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1
Harry Potter and the Goblet of Fire ,289994397.0,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1
Hancock ,227946274.0,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1
I Am Legend ,256386216.0,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1
