movie_title,director_name,imdb_score,duration,genres
Avatar 	,James Cameron,7.9,178.0,Action|Adventure|Fantasy|Sci-Fi
Pirates of the Caribbean: At World's End ,Gore Verbinski,7.1,169.0,Action|Adventure|Fantasy
Spectre ,Sam Mendes,6.8,148.0,Action|Adventure|Thriller
The Dark Knight Rises ,Christopher Nolan,8.5,164.0,Action|Thriller
Star Wars: Episode VII - The Force Awakens             ,Doug Walker,7.1,,Documentary
John Carter ,Andrew Stanton,6.6,132.0,Action|Adventure|Sci-Fi
Spider-Man 3 ,Sam Raimi,6.2,156.0,Action|Adventure|Romance
Tangled ,Nathan Greno,7.8,100.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance
Avengers: Age of Ultron ,Joss Whedon,7.5,141.0,Action|Adventure|Sci-Fi
Harry Potter and the Half-Blood Prince ,David Yates,7.5,153.0,Adventure|Family|Fantasy|Mystery
Batman v Superman: Dawn of Justice ,Zack Snyder,6.9,183.0,Action|Adventure|Sci-Fi
Superman Returns ,Bryan Singer,6.1,169.0,Action|Adventure|Sci-Fi
Quantum of Solace ,Marc Forster,6.7,106.0,Action|Adventure
Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,7.3,151.0,Action|Adventure|Fantasy
The Lone Ranger ,Gore Verbinski,6.5,150.0,Action|Adventure|Western
Man of Steel ,Zack Snyder,7.2,143.0,Action|Adventure|Fantasy|Sci-Fi
The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,6.6,150.0,Action|Adventure|Family|Fantasy
The Avengers ,Joss Whedon,8.1,173.0,Action|Adventure|Sci-Fi
Pirates of the Caribbean: On Stranger Tides ,Rob Marshall,6.7,136.0,Action|Adventure|Fantasy
Men in Black 3 ,Barry Sonnenfeld,6.8,106.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
The Hobbit: The Battle of the Five Armies ,Peter Jackson,7.5,164.0,Adventure|Fantasy
The Amazing Spider-Man ,Marc Webb,7.0,153.0,Action|Adventure|Fantasy
Robin Hood ,Ridley Scott,6.7,156.0,Action|Adventure|Drama|History
The Hobbit: The Desolation of Smaug ,Peter Jackson,7.9,186.0,Adventure|Fantasy
The Golden Compass ,Chris Weitz,6.1,113.0,Adventure|Family|Fantasy
King Kong ,Peter Jackson,7.2,201.0,Action|Adventure|Drama|Romance
Titanic ,James Cameron,7.7,194.0,Drama|Romance
Captain America: Civil War ,Anthony Russo,8.2,147.0,Action|Adventure|Sci-Fi
Battleship ,Peter Berg,5.9,131.0,Action|Adventure|Sci-Fi|Thriller
Jurassic World ,Colin Trevorrow,7.0,124.0,Action|Adventure|Sci-Fi|Thriller
Skyfall ,Sam Mendes,7.8,143.0,Action|Adventure|Thriller
Spider-Man 2 ,Sam Raimi,7.3,135.0,Action|Adventure|Fantasy|Romance
Iron Man 3 ,Shane Black,7.2,195.0,Action|Adventure|Sci-Fi
Alice in Wonderland ,Tim Burton,6.5,108.0,Adventure|Family|Fantasy
X-Men: The Last Stand ,Brett Ratner,6.8,104.0,Action|Adventure|Fantasy|Sci-Fi|Thriller
Monsters University ,Dan Scanlon,7.3,104.0,Adventure|Animation|Comedy|Family|Fantasy
Transformers: Revenge of the Fallen ,Michael Bay,6.0,150.0,Action|Adventure|Sci-Fi
Transformers: Age of Extinction ,Michael Bay,5.7,165.0,Action|Adventure|Sci-Fi
Oz the Great and Powerful ,Sam Raimi,6.4,130.0,Adventure|Family|Fantasy
The Amazing Spider-Man 2 ,Marc Webb,6.7,142.0,Action|Adventure|Fantasy|Sci-Fi
TRON: Legacy ,Joseph Kosinski,6.8,125.0,Action|Adventure|Sci-Fi
Cars 2 ,John Lasseter,6.3,106.0,Adventure|Animation|Comedy|Family|Sport
Green Lantern ,Martin Campbell,5.6,123.0,Action|Adventure|Sci-Fi
Toy Story 3 ,Lee Unkrich,8.3,103.0,Adventure|Animation|Comedy|Family|Fantasy
