movie_title,imdb_score,title_year
Avatar 	,7.9,2009.0
Pirates of the Caribbean: At World's End ,7.1,2007.0
Spectre ,6.8,2015.0
The Dark Knight Rises ,8.5,2012.0
Star Wars: Episode VII - The Force Awakens             ,7.1,
John Carter ,6.6,2012.0
Spider-Man 3 ,6.2,2007.0
Tangled ,7.8,2010.0
Avengers: Age of Ultron ,7.5,2015.0
Harry Potter and the Half-Blood Prince ,7.5,2009.0
Batman v Superman: Dawn of Justice ,6.9,2016.0
Superman Returns ,6.1,2006.0
Quantum of Solace ,6.7,2008.0
Pirates of the Caribbean: Dead Man's Chest ,7.3,2006.0
The Lone Ranger ,6.5,2013.0
Man of Steel ,7.2,2013.0
The Chronicles of Narnia: Prince Caspian ,6.6,2008.0
The Avengers ,8.1,2012.0
Pirates of the Caribbean: On Stranger Tides ,6.7,2011.0
Men in Black 3 ,6.8,2012.0
The Hobbit: The Battle of the Five Armies ,7.5,2014.0
The Amazing Spider-Man ,7.0,2012.0
Robin Hood ,6.7,2010.0
The Hobbit: The Desolation of Smaug ,7.9,2013.0
The Golden Compass ,6.1,2007.0
King Kong ,7.2,2005.0
Titanic ,7.7,1997.0
Captain America: Civil War ,8.2,2016.0
Battleship ,5.9,2012.0
Jurassic World ,7.0,2015.0
Skyfall ,7.8,2012.0
Spider-Man 2 ,7.3,2004.0
Iron Man 3 ,7.2,2013.0
Alice in Wonderland ,6.5,2010.0
X-Men: The Last Stand ,6.8,2006.0
Monsters University ,7.3,2013.0
Transformers: Revenge of the Fallen ,6.0,2009.0
Transformers: Age of Extinction ,5.7,2014.0
Oz the Great and Powerful ,6.4,2013.0
The Amazing Spider-Man 2 ,6.7,2014.0
TRON: Legacy ,6.8,2010.0
Cars 2 ,6.3,2011.0
Green Lantern ,5.6,2011.0
Toy Story 3 ,8.3,2010.0
Terminator Salvation ,6.6,2009.0
Furious 7 ,7.2,2015.0
World War Z ,7.0,2013.0
X-Men: Days of Future Past ,8.0,2014.0
Star Trek Into Darkness ,7.8,2013.0
Jack the Giant Slayer ,6.3,2013.0
The Great Gatsby ,7.3,2013.0
