Category: All categories

Week,python: (Worldwide)
2013-07-21,40
2013-07-28,39
2013-08-04,57
2013-08-11,41
2013-08-18,41
2013-08-25,39
2013-09-01,40
2013-09-08,42
2013-09-15,43
2013-09-22,45
2013-09-29,43
2013-10-06,45
2013-10-13,45
2013-10-20,47
2013-10-27,45
2013-11-03,46
2013-11-10,46
2013-11-17,54
2013-11-24,58
2013-12-01,50
2013-12-08,46
2013-12-15,43
2013-12-22,36
2013-12-29,35
2014-01-05,42
2014-01-12,44
2014-01-19,43
2014-01-26,44
2014-02-02,44
2014-02-09,45
2014-02-16,45
2014-02-23,45
2014-03-02,51
2014-03-09,46
2014-03-16,46
2014-03-23,46
2014-03-30,46
2014-04-06,48
2014-04-13,46
2014-04-20,47
2014-04-27,43
2014-05-04,45
2014-05-11,46
2014-05-18,45
2014-05-25,42
2014-06-01,43
2014-06-08,43
2014-06-15,43
2014-06-22,45
2014-06-29,48
2014-07-06,45
2014-07-13,48
2014-07-20,54
2014-07-27,46
2014-08-03,43
2014-08-10,42
2014-08-17,43
2014-08-24,42
2014-08-31,43
2014-09-07,46
2014-09-14,48
2014-09-21,46
2014-09-28,49
2014-10-05,49
2014-10-12,48
2014-10-19,49
2014-10-26,47
2014-11-02,49
2014-11-09,48
2014-11-16,49
2014-11-23,46
2014-11-30,47
2014-12-07,47
2014-12-14,46
2014-12-21,35
2014-12-28,34
2015-01-04,43
2015-01-11,47
2015-01-18,46
2015-01-25,48
2015-02-01,51
2015-02-08,49
2015-02-15,47
2015-02-22,49
2015-03-01,51
2015-03-08,50
2015-03-15,49
2015-03-22,50
2015-03-29,49
2015-04-05,49
2015-04-12,52
2015-04-19,52
2015-04-26,49
2015-05-03,50
2015-05-10,49
2015-05-17,50
2015-05-24,47
2015-05-31,51
2015-06-07,50
2015-06-14,51
2015-06-21,52
2015-06-28,48
2015-07-05,49
2015-07-12,49
2015-07-19,50
2015-07-26,49
2015-08-02,48
2015-08-09,47
2015-08-16,47
2015-08-23,51
2015-08-30,54
2015-09-06,53
2015-09-13,54
2015-09-20,52
2015-09-27,54
2015-10-04,55
2015-10-11,56
2015-10-18,55
2015-10-25,54
2015-11-01,54
2015-11-08,55
2015-11-15,58
2015-11-22,54
2015-11-29,56
2015-12-06,58
2015-12-13,53
2015-12-20,43
2015-12-27,41
2016-01-03,54
2016-01-10,58
2016-01-17,60
2016-01-24,62
2016-01-31,64
2016-02-07,62
2016-02-14,62
2016-02-21,63
2016-02-28,63
2016-03-06,66
2016-03-13,65
2016-03-20,61
2016-03-27,62
2016-04-03,63
2016-04-10,66
2016-04-17,62
2016-04-24,62
2016-05-01,59
2016-05-08,64
2016-05-15,61
2016-05-22,64
2016-05-29,63
2016-06-05,63
2016-06-12,63
2016-06-19,63
2016-06-26,61
2016-07-03,58
2016-07-10,59
2016-07-17,62
2016-07-24,60
2016-07-31,59
2016-08-07,55
2016-08-14,51
2016-08-21,59
2016-08-28,61
2016-09-04,64
2016-09-11,64
2016-09-18,67
2016-09-25,68
2016-10-02,66
2016-10-09,72
2016-10-16,70
2016-10-23,73
2016-10-30,73
2016-11-06,72
2016-11-13,77
2016-11-20,70
2016-11-27,75
2016-12-04,72
2016-12-11,70
2016-12-18,65
2016-12-25,52
2017-01-01,63
2017-01-08,71
2017-01-15,73
2017-01-22,76
2017-01-29,75
2017-02-05,78
2017-02-12,78
2017-02-19,84
2017-02-26,84
2017-03-05,84
2017-03-12,83
2017-03-19,83
2017-03-26,95
2017-04-02,84
2017-04-09,83
2017-04-16,79
2017-04-23,83
2017-04-30,78
2017-05-07,81
2017-05-14,77
2017-05-21,76
2017-05-28,74
2017-06-04,76
2017-06-11,80
2017-06-18,79
2017-06-25,79
2017-07-02,74
2017-07-09,77
2017-07-16,80
2017-07-23,77
2017-07-30,77
2017-08-06,75
2017-08-13,73
2017-08-20,75
2017-08-27,76
2017-09-03,79
2017-09-10,86
2017-09-17,87
2017-09-24,88
2017-10-01,90
2017-10-08,90
2017-10-15,89
2017-10-22,91
2017-10-29,91
2017-11-05,95
2017-11-12,94
2017-11-19,86
2017-11-26,90
2017-12-03,97
2017-12-10,91
2017-12-17,81
2017-12-24,66
2017-12-31,71
2018-01-07,86
2018-01-14,89
2018-01-21,91
2018-01-28,93
2018-02-04,93
2018-02-11,92
2018-02-18,93
2018-02-25,93
2018-03-04,95
2018-03-11,97
2018-03-18,97
2018-03-25,95
2018-04-01,93
2018-04-08,95
2018-04-15,100
2018-04-22,96
2018-04-29,87
2018-05-06,89
2018-05-13,97
2018-05-20,92
2018-05-27,89
2018-06-03,92
2018-06-10,96
2018-06-17,98
2018-06-24,91
2018-07-01,85
2018-07-08,91
2018-07-15,95
