May Batch 
------------
11th Jun    functions, Decorators 
12th Jun    Iterators, Generators, coroutines
13st Jun    Modules: math, sys, argarse, os, shutil
14th Jun    Modules: subprocess, getpass, time_related, random
17th Jun    Modules: pyttsx3, qr coe, console coloring, turtle, collections, user defined 
18th Jun    File operations - flat files
19th Jun    non-flat files, image, zip, config, pyw files 
20th Jun    DB files, Logging 
21th Jun    OOP 
24th Jun    OOP, code quality 
25th Jun    regular expressions 
26th Jun    web services 
27th Jun    Data science related: numpy, pandas, matplotlib 
